id,writer
110465,"[b'Leon Gordon', b'Helen Deutsch', b'Richard Schayer']"
255546,[]
40751,[b'Wong Kar-wai']
275096,[]
85778,[]
11101,"[b'Joseph Vilsmaier', b'J\xc3\xbcrgen B\xc3\xbcscher', b'Johannes Heide']"
9826,[b'Jeffrey Boam']
9879,[b'Andrew Bergman']
63564,[]
22621,[]
7095,"[b'James DeMonaco', b'Gary Nadeau']"
26890,[]
46732,[b'Stirling Silliphant']
124633,[]
202425,[]
196940,[]
77771,[]
181083,[]
41225,[]
188589,[]
87190,[]
627,[b'John Hodge']
32872,[]
602,"[b'Roland Emmerich', b'Dean Devlin']"
14553,[]
9566,[b'Phoef Sutton']
10545,"[b'Irene Mecchi', b'Tab Murphy', b'Jonathan Roberts', b'Bob Tzudiker', b'Noni White']"
9894,[b'Lou Holtz Jr.']
11543,"[b'Barry Fanaro', b'Mort Nathan']"
9268,"[b'Tony Puryear', b'Walon Green']"
52059,[]
9327,"[b'David Sheffield', b'Barry W. Blaustein', b'Steve Oedekerk', b'Tom Shadyac']"
123763,[]
81949,[]
42005,[]
124306,[]
183955,[b'Ricardo Lee']
44535,[]
44495,[]
78285,[]
11228,[b'Leslie Bohem']
10779,"[b'Peter Jackson', b'Fran Walsh']"
26748,[]
38223,"[b'Douglas Petrie', b'Theresa Rebeck']"
9294,[b'Gerald Di Pego']
49963,[]
11363,[b'Edward Burns']
1645,[b'Akiva Goldsman']
31546,[b'David Mamet']
77056,[]
36344,[]
18550,[]
11511,"[b'Christian Ford', b'Roger Soffer']"
172198,[]
34170,"[b'Roy Blount, Jr.']"
281085,[]
109478,[]
124645,[]
12606,"[b'Harry Elfont', b'Deborah Kaplan', b'James Berg', b'Stan Zimmerman']"
69895,[]
35206,[]
151489,[]
4837,[]
12632,[b'Peter Sehr']
9098,"[b'Rolf Silber', b'Rudolf Bergmann']"
282919,[]
124614,[]
18975,[]
11962,[b'John Payson']
2925,[b'Robert Harling']
28628,[]
